AuthorID	InstanceID
1	0
10	1
108	2
109	3
11	4
110	5
111	6
112	7
113	8
114	9
115	10
117	11
118	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
2	21
20	22
21	23
22	24
23	25
24	26
25	27
26	28
28	29
29	30
3	31
30	32
31	33
32	34
33	35
34	36
35	37
36	38
37	39
38	40
4	41
40	42
41	43
42	44
43	45
44	46
45	47
46	48
47	49
48	50
49	51
5	52
50	53
51	54
52	55
53	56
54	57
55	58
56	59
57	60
58	61
59	62
6	63
60	64
61	65
62	66
63	67
64	68
65	69
66	70
67	71
68	72
69	73
7	74
70	75
71	76
72	77
73	78
74	79
75	80
76	81
77	82
78	83
79	84
8	85
80	86
81	87
83	88
84	89
85	90
86	91
88	92
89	93
9	94
90	95
92	96
93	97
94	98
96	99
